
Date and time: 2016-07-19 08:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
Silo,Cable,Sensor,Value (°C)
36,001,1,16.5
36,001,2,16.0
36,001,3,16.0
36,001,4,16.0
36,001,5,16.0
36,001,6,16.0
36,001,7,16.0
36,002,1,16.5
36,002,2,16.5
36,002,3,16.0
36,002,4,16.5
36,002,5,16.0
36,002,6,16.0
36,002,7,16.0
36,003,1,16.0
36,003,2,16.0
36,003,3,16.0
36,003,4,16.0
36,003,5,16.0
36,003,6,15.8
36,003,7,15.5
36,004,1,16.0
36,004,2,16.0
36,004,3,16.0
36,004,4,16.0
36,004,5,16.0
36,004,6,16.0
36,004,7,16.0
36,005,1,16.2
36,005,2,16.1
36,005,3,15.9
36,005,4,15.9
36,005,5,16.0
36,005,6,16.2
36,005,7,20.4
36,006,1,16.0
36,006,2,16.5
36,006,3,16.0
36,006,4,16.0
36,006,5,16.0
36,006,6,16.0
36,006,7,17.5
35,007,1,15.5
35,007,2,15.0
35,007,3,15.0
35,007,4,15.0
35,007,5,14.5
35,007,6,15.0
35,007,7,15.0
35,008,1,15.5
35,008,2,15.5
35,008,3,15.0
35,008,4,15.0
35,008,5,15.0
35,008,6,15.0
35,009,1,15.5
35,009,2,15.5
35,009,3,15.0
35,009,4,15.0
35,009,5,14.5
35,009,6,14.5
35,009,7,14.5
35,010,1,15.5
35,010,2,15.0
35,010,3,14.5
35,010,4,15.0
35,010,5,15.0
35,010,6,15.0
35,010,7,14.5
35,011,1,15.0
35,011,2,15.5
35,011,3,15.0
35,011,4,15.0
35,011,5,15.0
35,011,6,15.0
35,011,7,19.0
35,012,1,15.5
35,012,2,15.0
35,012,3,15.5
35,012,4,15.0
35,012,5,15.0
35,012,6,15.0
35,012,7,16.5
34,013,1,15.4
34,013,2,15.4
34,013,3,15.4
34,013,4,15.3
34,013,5,15.3
34,013,6,15.4
34,013,7,15.4
34,014,1,15.5
34,014,2,15.5
34,014,3,15.5
34,014,4,15.0
34,014,5,15.0
34,014,6,15.0
34,014,7,15.5
34,015,1,15.6
34,015,2,15.4
34,015,3,15.4
34,015,4,15.3
34,015,5,15.2
34,015,6,15.3
34,015,7,15.1
34,016,1,15.5
34,016,2,15.5
34,016,3,15.0
34,016,4,15.5
34,016,5,15.0
34,016,6,15.5
34,016,7,15.0
34,017,1,15.4
34,017,2,15.4
34,017,3,15.3
34,017,4,15.4
34,017,5,15.4
34,017,6,15.7
34,017,7,17.8
34,018,1,15.5
34,018,2,15.0
34,018,3,15.0
34,018,4,15.0
34,018,5,15.0
34,018,6,15.5
34,018,7,17.5
33,019,1,15.6
33,019,2,15.4
33,019,3,15.4
33,019,4,15.4
33,019,5,15.3
33,019,6,15.3
33,019,7,15.1
33,020,1,15.4
33,020,2,15.4
33,020,3,15.4
33,020,4,15.2
33,020,5,15.4
33,020,6,15.1
33,020,7,15.3
33,021,1,15.5
33,021,2,15.3
33,021,3,15.5
33,021,4,15.5
33,021,5,15.3
33,021,6,15.5
33,021,7,15.0
33,022,1,15.5
33,022,2,15.4
33,022,3,15.3
33,022,4,15.4
33,022,5,15.3
33,022,6,15.4
33,022,7,15.4
33,023,1,15.4
33,023,2,15.4
33,023,3,15.2
33,023,4,15.4
33,023,5,15.3
33,023,6,15.6
33,023,7,17.6
33,024,1,15.5
33,024,2,15.4
33,024,3,15.3
33,024,4,15.5
33,024,5,15.4
33,024,6,15.6
33,024,7,17.2
32,025,1,15.3
32,025,2,15.1
32,025,3,15.1
32,025,4,15.1
32,025,5,15.2
32,025,6,15.1
32,025,7,15.1
32,026,1,15.4
32,026,2,15.3
32,026,3,14.9
32,026,4,14.9
32,026,5,14.6
32,026,6,14.8
32,026,7,14.5
32,027,1,15.5
32,027,2,15.0
32,027,3,15.0
32,027,4,14.5
32,027,5,15.0
32,027,6,14.5
32,028,1,15.0
32,028,2,15.1
32,028,3,15.1
32,028,4,14.8
32,028,5,14.8
32,028,6,15.0
32,028,7,14.6
32,029,1,15.0
32,029,2,14.5
32,029,3,15.0
32,029,4,15.0
32,029,5,14.8
32,029,6,15.0
32,030,1,15.0
32,030,2,15.0
32,030,3,14.9
32,030,4,14.8
32,030,5,14.9
32,030,6,15.1
32,030,7,15.3
31,031,1,15.2
31,031,2,15.3
31,031,3,14.9
31,031,4,14.9
31,031,5,14.9
31,031,6,15.2
31,031,7,15.7
31,032,1,15.2
31,032,2,15.1
31,032,3,14.9
31,032,4,15.0
31,032,5,14.9
31,032,6,14.9
31,032,7,14.8
31,033,1,15.2
31,033,2,15.3
31,033,3,15.0
31,033,4,15.0
31,033,5,14.9
31,033,6,14.9
31,033,7,14.5
31,034,1,15.0
31,034,2,15.0
31,034,3,15.0
31,034,4,15.5
31,034,5,15.0
31,034,6,15.0
31,035,1,15.3
31,035,2,15.1
31,035,3,14.9
31,035,4,14.9
31,035,5,14.8
31,035,6,15.1
31,035,7,16.1
31,036,1,15.0
31,036,2,15.0
31,036,3,15.0
31,036,4,15.0
31,036,5,15.0
31,036,6,15.0
13,037,1,15.5
13,037,2,15.6
13,037,3,15.3
13,037,4,15.2
13,037,5,15.3
13,037,6,15.3
13,037,7,15.5
13,038,1,15.6
13,038,2,15.3
13,038,3,15.3
13,038,4,15.3
13,038,5,15.0
13,038,6,14.7
13,038,7,14.6
13,039,1,15.3
13,039,2,15.3
13,039,3,15.0
13,039,4,15.1
13,039,5,14.9
13,039,6,14.6
13,039,7,14.6
13,040,1,15.3
13,040,2,15.1
13,040,3,15.1
13,040,4,15.0
13,040,5,15.2
13,040,6,14.9
13,040,7,15.0
13,041,1,15.2
13,041,2,15.3
13,041,3,15.2
13,041,4,15.2
13,041,5,15.1
13,041,6,15.0
13,041,7,15.4
13,042,1,15.3
13,042,2,15.3
13,042,3,15.0
13,042,4,15.0
13,042,5,15.1
13,042,6,15.0
13,042,7,15.1
14,043,1,15.3
14,043,2,15.3
14,043,3,15.2
14,043,4,15.0
14,043,5,14.8
14,043,6,14.9
14,043,7,14.8
14,044,1,15.0
14,044,2,15.0
14,044,3,15.0
14,044,4,15.0
14,044,5,15.0
14,044,6,15.5
14,044,7,16.5
14,045,1,15.4
14,045,2,15.1
14,045,3,15.2
14,045,4,14.9
14,045,5,14.9
14,045,6,14.8
14,045,7,14.7
14,046,1,15.4
14,046,2,15.3
14,046,3,15.2
14,046,4,15.1
14,046,5,15.0
14,046,6,15.5
14,046,7,15.4
14,047,1,15.0
14,047,2,17.0
14,047,3,15.0
14,047,4,15.0
14,047,5,15.0
14,047,6,15.0
14,047,7,15.0
14,048,1,15.0
14,048,2,15.5
14,048,3,15.0
14,048,4,15.0
14,048,5,15.0
14,048,6,15.0
14,048,7,15.5
15,049,1,15.6
15,049,2,15.5
15,049,3,15.5
15,049,4,15.3
15,049,5,15.5
