Date and time: ###,,,
Netcontrollers: ,,,
,,,
,,,
Silo,Cable,Sensor,Status
8,120,3,9.1
8,120,4,8.9
8,120,5,9.1
8,120,6,9.1
8,120,7,9.2
9,121,1,18.2
9,121,2,19.3
9,121,3,20.5
9,121,4,9.5
9,121,5,9.2
9,121,6,9.3
9,121,7,9.1
9,122,1,17.2
9,122,2,20.1
9,122,3,20.3
9,122,4,9.3
9,122,5,9.3
9,122,6,9.1
9,122,7,9.1
9,123,1,17.1
9,123,2,18.8
9,123,3,20.1
9,123,4,9.3
9,123,5,9.2
9,123,6,9.1
9,123,7,9
9,124,1,15.3
9,124,2,17
9,124,3,19.4
9,124,4,14.2
9,124,5,9.3
9,124,6,8.7
9,124,7,8.6
9,125,1,18.5
9,125,2,19.7
9,125,3,19.5
9,125,4,20.1
9,125,5,8.9
9,125,6,8.9
9,125,7,8.8
9,126,1,16.1
9,126,2,19.8
9,126,3,20.1
9,126,4,11.8
9,126,5,9.1
9,126,6,8.8
9,126,7,8.9
10,127,1,21.3
10,127,2,20.4
10,127,3,18.8
10,127,4,8.9
10,127,5,8.9
10,127,6,8.8
10,127,7,8.6
10,128,1,21.9
10,128,2,21.3
10,128,3,19.2
10,128,4,8.9
10,128,5,8.7
10,128,6,8.7
10,128,7,8.6
10,129,1,19.9
10,129,2,18.8
10,129,3,8.9
10,129,4,8.8
10,129,5,8.8
10,129,6,8.8
10,129,7,8.6
10,130,1,20
10,130,2,19.5
10,130,3,9
10,130,4,9
10,130,5,8.5
10,130,6,8.5
10,131,1,17.1
10,131,2,20.2
10,131,3,14.6
10,131,4,8.9
10,131,5,8.8
10,131,6,8.8
10,131,7,8.8
10,132,1,20
10,132,2,21
10,132,3,18.8
10,132,4,8.8
10,132,5,9
10,132,6,9
11,133,1,8.8
11,133,2,8.8
11,133,3,8.7
11,133,4,8.6
11,133,5,8.6
11,133,6,8.6
11,133,7,8.6
11,134,1,8.8
11,134,2,8.8
11,134,3,8.6
11,134,4,8.6
11,134,5,8.5
11,134,6,8.5
11,134,7,8.5
11,135,1,8.5
11,135,2,8.5
11,135,3,8.5
11,135,4,8.5
11,135,5,8.3
11,135,6,8.5
11,136,1,8.9
11,136,2,8.8
11,136,3,8.8
11,136,4,8.6
11,136,5,8.7
11,136,6,8.6
11,136,7,8.6
11,137,1,15.8
11,137,2,8.9
11,137,3,8.9
11,137,4,8.8
11,137,5,8.6
11,137,6,8.6
11,137,7,8.6
11,138,1,16.6
11,138,2,8.8
11,138,3,8.8
11,138,4,8.7
11,138,5,8.7
11,138,6,8.6
11,138,7,8.8
12,139,1,10
12,139,2,9.5
12,139,3,9.5
12,139,4,9.5
12,139,5,9.5
12,139,6,9.5
12,140,1,9.6
12,140,2,9.3
12,140,3,9.4
12,140,4,9.1
12,140,5,9.1
12,140,6,9.1
12,140,7,8.9
12,141,1,9.5
12,141,2,9
12,141,3,9
12,141,4,9.5
12,141,5,9
12,141,6,9.5
12,142,1,9.5
