
Date and time: 2015-06-10 06:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
36,006,7,14.1
35,007,1,14.1
35,007,2,14.3
35,007,3,14.1
35,007,4,13.9
35,007,5,13.8
35,007,6,13.8
35,007,7,13.6
35,008,1,14.1
35,008,2,14.3
35,008,3,14.1
35,008,4,13.9
35,008,5,14.0
35,008,6,13.7
35,008,7,13.7
35,009,1,14.3
35,009,2,14.3
35,009,3,14.2
35,009,4,14.1
35,009,5,13.9
35,009,6,13.8
35,009,7,13.7
35,010,1,14.1
35,010,2,14.1
35,010,3,14.0
35,010,4,14.1
35,010,5,14.0
35,010,6,13.8
35,010,7,13.7
35,011,1,14.2
35,011,2,14.0
35,011,3,14.1
35,011,4,13.9
35,011,5,13.9
35,011,6,13.9
35,011,7,13.8
35,012,1,14.3
35,012,2,14.1
35,012,3,13.9
35,012,4,14.1
35,012,5,14.0
35,012,6,13.9
35,012,7,13.7
34,013,1,14.8
34,013,2,14.8
34,013,3,14.7
34,013,4,14.6
34,013,5,14.5
34,013,6,14.5
34,013,7,14.3
34,014,1,14.8
34,014,2,14.7
34,014,3,14.7
34,014,4,14.6
34,014,5,14.5
34,014,6,14.5
34,014,7,13.9
34,015,1,14.9
34,015,2,14.7
34,015,3,14.8
34,015,4,14.6
34,015,5,14.5
34,015,6,14.6
34,015,7,14.4
34,016,1,14.9
34,016,2,14.8
34,016,3,14.8
34,016,4,14.6
34,016,5,14.4
34,016,6,14.5
34,016,7,14.1
34,017,1,14.9
34,017,2,14.8
34,017,3,14.7
34,017,4,14.6
34,017,5,14.6
34,017,6,14.4
34,017,7,14.3
33,019,1,14.8
33,019,2,14.8
33,019,3,14.8
33,019,4,14.7
33,019,5,14.5
33,019,6,14.3
33,019,7,14.1
33,022,1,14.8
33,022,2,14.8
33,022,3,14.6
33,022,4,14.6
33,022,5,14.4
33,022,6,14.3
33,022,7,14.4
33,023,1,14.7
33,023,2,14.7
33,023,3,14.5
33,023,4,14.6
33,023,5,14.4
33,023,6,14.3
33,023,7,14.2
33,024,1,14.8
33,024,2,14.7
33,024,3,14.6
33,024,4,14.7
33,024,5,14.4
33,024,6,14.3
33,024,7,14.3
32,025,1,4.4
32,025,2,14.3
32,025,3,14.1
32,025,4,14.2
32,025,5,14.1
32,025,6,13.9
32,025,7,13.9
32,026,1,4.8
32,026,2,14.4
32,026,3,14.3
32,026,4,14.2
32,026,5,13.9
32,026,6,14.1
32,026,7,13.8
32,028,1,5.6
32,028,2,14.4
32,028,3,14.4
32,028,4,14.1
32,028,5,14.1
32,028,6,14.1
32,028,7,13.9
32,030,1,5.0
32,030,2,14.3
32,030,3,14.3
32,030,4,14.1
32,030,5,14.1
32,030,6,14.1
32,030,7,14.0
31,034,1,-5.4
31,034,2,-3.1
31,034,3,1.1
31,034,4,14.6
31,034,5,14.6
31,034,6,14.3
31,035,1,-5.1
31,035,2,-2.9
31,035,3,1.4
31,035,4,14.8
31,035,5,14.3
31,035,6,14.3
31,035,7,14.1
13,037,1,15.9
13,037,2,16.3
13,037,3,17.9
13,037,4,14.3
13,037,5,14.1
13,037,6,14.0
13,037,7,14.1
13,039,1,16.0
13,039,2,16.8
13,039,3,18.4
13,039,4,14.3
13,039,5,14.1
13,039,6,13.9
13,039,7,13.9
13,040,1,15.3
13,040,2,15.1
13,040,3,13.3
13,040,4,14.3
13,040,5,14.3
13,040,6,14.0
13,040,7,14.2
13,041,1,9.6
13,041,2,11.9
13,041,3,12.3
13,041,4,14.4
13,041,5,14.2
13,041,6,14.0
13,041,7,13.9
13,042,1,17.8
13,042,2,17.1
13,042,3,18.1
13,042,4,14.4
13,042,5,14.3
13,042,6,14.0
13,042,7,13.9
14,043,1,14.3
14,043,2,14.4
14,043,3,14.3
14,043,4,14.1
14,043,5,14.1
14,043,6,14.0
14,043,7,14.0
14,044,1,14.0
14,044,2,14.0
14,044,3,14.0
14,044,4,14.0
14,044,5,14.0
14,044,6,14.0
14,044,7,13.5
14,045,1,14.4
14,045,2,14.1
14,045,3,14.3
14,045,4,14.1
14,045,5,14.1
14,045,6,13.9
14,045,7,13.9
14,046,1,14.4
14,046,2,14.4
14,046,3,14.3
14,046,4,14.2
14,046,5,13.9
14,046,6,14.1
14,046,7,13.8
14,047,1,14.3
14,047,2,16.0
14,047,3,14.0
14,047,4,14.0
14,047,5,14.3
14,047,6,14.0
14,047,7,13.5
15,049,1,14.4
15,049,2,14.3
15,049,3,14.3
15,049,4,14.0
15,049,5,14.2
15,049,6,13.9
15,049,7,13.8
15,050,1,14.4
15,050,2,14.2
15,050,3,14.2
15,050,4,14.3
15,050,5,14.1
15,050,6,14.0
15,050,7,13.7
15,051,1,14.1
15,051,2,14.3
15,051,3,14.3
15,051,4,14.1
15,051,5,14.0
15,051,6,13.8
15,051,7,13.7
15,053,1,14.3
15,053,2,14.3
15,053,3,14.2
15,053,4,14.1
15,053,5,14.1
15,053,6,13.9
15,053,7,13.7
15,054,1,14.3
15,054,2,14.3
15,054,3,14.3
15,054,4,14.1
15,054,5,14.1
15,054,6,13.9
15,054,7,13.8
16,055,1,3.1
16,055,2,1.6
16,055,3,5.0
16,055,4,5.3
16,055,5,7.6
16,055,6,9.5
16,055,7,14.8
16,056,1,2.0
16,056,2,2.3
16,056,3,5.4
16,056,4,5.5
16,056,5,7.8
16,056,6,10.3
16,056,7,14.2
16,057,1,17.9
16,057,2,16.9
16,057,3,16.6
16,057,4,10.3
16,057,5,8.5
16,057,6,10.8
16,057,7,14.6
16,058,1,1.7
16,058,2,2.2
16,058,3,5.3
16,058,4,5.5
16,058,5,7.6
16,058,6,9.8
16,058,7,14.6
16,060,1,2.6
16,060,2,1.7
16,060,3,4.9
16,060,4,5.2
16,060,5,7.6
16,060,6,9.7
16,060,7,14.4
17,061,1,14.5
